codigo_ocorrencia,codigo_ocorrencia1,codigo_ocorrencia2,codigo_ocorrencia4,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,investigacao_aeronave_liberada,investigacao_status,divulgacao_relatorio_numero,divulgacao_relatorio_publicado,divulgacao_dia_publicacao,outras,
52242,52242,52242,52242,INCIDENTE,PORTO ALEGRE,RS,SBPA,05/01/2012,20:27:00,***,FINALIZADA,***,NÃO,NULL,03/07/1987,
45331,45331,45331,45331,ACIDENTE,GUARULHOS,SP,SBGR,06/01/2012,13:44:00,SIM,FINALIZADA,A-582/CENIPA/2014,SIM,2016-09-01,,
45333,45333,45333,45333,ACIDENTE,VIAMÃO,RS,****,06/01/2012,13:00:00,NULL,FINALIZADA,A-070/CENIPA/2013,SIM,2013-11-27,,
45401,45401,45401,45401,ACIDENTE,SÃO SEBASTIÃO,SP,****,06/01/2012,17:00:00,***,NULL,NULL,NÃO,NULL,,
45407,45407,45407,45407,ACIDENTE,SÃO SEPÉ,RS,****,06/01/2012,16:30:00,SIM,FINALIZADA,A-071/CENIPA/2013,SIM,2013-11-27,,
52243,52243,52243,52243,INCIDENTE,UBATUBA,SP,****,06/01/2013,14:30:00,***,FINALIZADA,***,NÃO,NULL,,
50713,50713,50713,50713,INCIDENTE GRAVE,CAMPINAS,SP,SDAI,07/01/2012,18:15:00,SIM,FINALIZADA,IG-184/CENIPA/2013,SIM,2014-01-08,,
45334,45334,45334,45334,INCIDENTE,BELÉM,PA,SBBE,08/01/2012,19:12:00,***,FINALIZADA,***,NÃO,NULL,,
45391,45391,45391,45391,ACIDENTE,CONCEIÇÃO DAS ALAGOAS,MG,****,08/01/2012,16:00:00,***,FINALIZADA,A DEFINIR,NÃO,NULL,,
52244,52244,52244,52244,INCIDENTE,UBERLÂNDIA,MG,SBUL,08/01/2012,22:13:00,***,FINALIZADA,***,NÃO,NULL,,
45332,45332,45332,45332,ACIDENTE,VIAMÃO,RS,****,09/01/2012,13:30:00,SIM,FINALIZADA,A-072/CENIPA/2013,SIM,2013-11-27,,
52245,52245,52245,52245,INCIDENTE,PORTO ALEGRE,RS,SBPA,09/01/2012,13:36:00,***,FINALIZADA,***,NÃO,NULL,,
45396,45396,45396,45396,INCIDENTE GRAVE,MARABÁ,PA,SBMA,11/01/2012,11:21:00,SIM,FINALIZADA,IG-508/CENIPA/2017,SIM,2017-05-02,,
45408,45408,45408,45408,ACIDENTE,ELDORADO,SP,****,11/01/2012,13:45:00,SIM,FINALIZADA,A-509/CENIPA/2021,SIM,2021-07-08,,
45447,45447,45447,45447,INCIDENTE,RIO BRANCO,AC,****,13/01/2012,18:15:00,SIM,FINALIZADA,***,NÃO,NULL,,
45409,45409,45409,45409,ACIDENTE,CÁCERES,MT,****,14/01/2012,10:00:00,***,FINALIZADA,ENCERRADA NO RAI,NÃO,NULL,,
45693,45693,45693,45693,INCIDENTE,MACAÉ,RJ,****,14/01/2012,10:30:00,***,FINALIZADA,***,NÃO,NULL,,
52246,52246,52246,52246,INCIDENTE,BRASÍLIA,DF,SBBR,16/01/2012,16:47:00,***,FINALIZADA,***,NÃO,NULL,,
50714,50714,50714,50714,INCIDENTE GRAVE,CAMOCIM,CE,SNWC,17/01/2012,18:25:00,SIM,FINALIZADA,IG-073/CENIPA/2013,SIM,2014-10-01,,
45399,45399,45399,45399,INCIDENTE GRAVE,MUANÁ,PA,****,18/01/2012,17:35:00,SIM,FINALIZADA,IG-074/CENIPA/2013,SIM,2014-08-15,,
52247,52247,52247,52247,INCIDENTE,BELO HORIZONTE,MG,SBPR,18/01/2012,13:10:00,***,FINALIZADA,***,NÃO,NULL,,
45392,45392,45392,45392,ACIDENTE,BRASÍLIA,DF,****,19/01/2012,21:30:00,SIM,FINALIZADA,A-032/CENIPA/2014,SIM,2014-04-07,,
45390,45390,45390,45390,ACIDENTE,CACHOEIRA DOURADA,GO,****,20/01/2012,21:00:00,SIM,FINALIZADA,A-598/CENIPA/2014,SIM,2014-10-01,,
45405,45405,45405,45405,INCIDENTE,CUIABÁ,MT,****,20/01/2012,08:00:00,***,FINALIZADA,***,NÃO,NULL,,
45582,45582,45582,45582,INCIDENTE GRAVE,RONDONÓPOLIS,MT,SWRD,20/01/2012,17:00:00,SIM,FINALIZADA,IG-535/CENIPA/2015,SIM,2015-07-21,,
45400,45400,45400,45400,INCIDENTE GRAVE,BRASÍLIA,DF,SBBR,21/01/2012,14:50:00,SIM,FINALIZADA,IG-544/CENIPA/2015,SIM,2017-03-31,,
45410,45410,45410,45410,ACIDENTE,BRAGANÇA PAULISTA,SP,SDVH,21/01/2012,23:30:00,***,FINALIZADA,A DEFINIR,NÃO,NULL,,
52241,52241,52241,52241,INCIDENTE GRAVE,UBERLÂNDIA,MG,SBUL,21/01/2012,20:45:00,***,NULL,NULL,NÃO,NULL,,
52248,52248,52248,52248,INCIDENTE,SÃO PAULO,SP,SBMT,21/01/2012,11:15:00,***,FINALIZADA,***,NÃO,NULL,,
45393,45393,45393,45393,ACIDENTE,RIO DE JANEIRO,RJ,SBJR,22/01/2012,20:25:00,SIM,FINALIZADA,A-076/CENIPA/2013,SIM,2013-10-21,,
45397,45397,45397,45397,INCIDENTE GRAVE,RIO DE JANEIRO,RJ,****,22/01/2012,19:05:00,SIM,FINALIZADA,IG-536/CENIPA/2014,SIM,2016-04-15,,
52051,52051,52051,52051,INCIDENTE,RECIFE,PE,SBRF,22/01/2012,23:00:00,***,FINALIZADA,***,NÃO,NULL,,
45412,45412,45412,45412,ACIDENTE,TASSO FRAGOSO,MA,****,23/01/2012,09:33:00,SIM,FINALIZADA,A-059/CENIPA/2013,SIM,2013-12-30,,
45413,45413,45413,45413,ACIDENTE,ITAPURANGA,GO,****,25/01/2012,22:00:00,***,NULL,NULL,NÃO,NULL,,
52053,52053,52053,52053,INCIDENTE,VITÓRIA,ES,SBVT,25/01/2012,13:36:00,***,FINALIZADA,***,NÃO,NULL,,
52054,52054,52054,52054,INCIDENTE,SÃO PAULO,SP,SBMT,25/01/2012,23:00:00,***,FINALIZADA,***,NÃO,NULL,,
52055,52055,52055,52055,INCIDENTE,RIBEIRÃO PRETO,SP,****,25/01/2012,09:30:00,***,FINALIZADA,***,NÃO,NULL,,
45802,45802,45802,45802,INCIDENTE,BELO HORIZONTE,MG,SBBH,26/01/2012,17:00:00,***,FINALIZADA,***,NÃO,NULL,,
45667,45667,45667,45667,INCIDENTE,JOINVILLE,SC,SBJV,27/01/2012,14:45:00,***,FINALIZADA,***,NÃO,NULL,,
45579,45579,45579,45579,ACIDENTE,CAMPOS LINDOS,TO,****,28/01/2012,18:35:00,SIM,FINALIZADA,A-520/CENIPA/2016,SIM,2016-07-13,,
45415,45415,45415,45415,ACIDENTE,RIO DE JANEIRO,RJ,****,30/01/2012,13:55:00,SIM,FINALIZADA,A-077/CENIPA/2013,SIM,2013-10-21,,
45719,45719,45719,45719,INCIDENTE,PELOTAS,RS,****,30/01/2012,21:30:00,***,FINALIZADA,***,NÃO,NULL,,
45414,45414,45414,45414,ACIDENTE,NOVA BRASILÂNDIA,MT,****,31/01/2012,18:00:00,SIM,FINALIZADA,A-546/CENIPA/2018,SIM,2020-05-29,,
45417,45417,45417,45417,ACIDENTE,VÁRZEA GRANDE,MT,****,31/01/2012,14:15:00,SIM,FINALIZADA,A-078/CENIPA/2013,SIM,2013-11-27,,
45668,45668,45668,45668,INCIDENTE,CAMPOS DOS GOYTACAZES,RJ,****,01/02/2012,12:30:00,***,FINALIZADA,***,NÃO,NULL,,
45682,45682,45682,45682,INCIDENTE,MACAÉ,RJ,****,01/02/2012,13:50:00,***,FINALIZADA,***,NÃO,NULL,,
45525,45525,45525,45525,ACIDENTE,CAMPO FLORIDO,MG,****,02/02/2012,21:30:00,SIM,FINALIZADA,A-529/CENIPA/2017,SIM,2017-08-01,,
45705,45705,45705,45705,INCIDENTE,SÃO JOSÉ DOS PINHAIS,PR,SBCT,02/02/2012,22:35:00,***,FINALIZADA,***,NÃO,NULL,,
45658,45658,45658,45658,INCIDENTE,CAMPO GRANDE,MS,SBCG,03/02/2012,23:33:00,***,FINALIZADA,NÃO HÁ,NÃO,NULL,,
45703,45703,45703,45703,INCIDENTE,RIO DE JANEIRO,RJ,SBGL,03/02/2012,02:04:00,***,FINALIZADA,***,NÃO,NULL,,
45701,45701,45701,45701,INCIDENTE,BELÉM,PA,SBBE,04/02/2012,14:55:00,***,FINALIZADA,***,NÃO,NULL,,
45587,45587,45587,45587,ACIDENTE,CORRENTINA,BA,****,05/02/2012,20:27:00,SIM,FINALIZADA,A-580/CENIPA/2014,SIM,2014-08-15,,
52056,52056,52056,52056,INCIDENTE,LONDRINA,PR,SBLO,05/02/2012,17:34:00,***,FINALIZADA,***,NÃO,NULL,,
45469,45469,45469,45469,INCIDENTE,PIRACICABA,SP,SDPW,06/02/2012,20:45:00,***,FINALIZADA,***,NÃO,NULL,,
45572,45572,45572,45572,ACIDENTE,PALESTINA,SP,****,06/02/2012,19:30:00,SIM,FINALIZADA,A-510/CENIPA/2021,SIM,2021-07-21,,
